"","actual","predicted","proportion","correct"
"110","ins_buzz_bee","mech_plane",0.0087719298245614,FALSE
"111","ins_buzz_bee","mech_siren",0,FALSE
"112","ins_buzz_bee","mech_train",0,FALSE
"113","ins_buzz_high","ambient_day",0.0625,FALSE
"114","ins_buzz_high","ambient_night",0,FALSE
"115","ins_buzz_high","ambient_rain",0,FALSE
"116","ins_buzz_high","ambient_scraping",0,FALSE
"117","ins_buzz_high","goose",0,FALSE
"118","ins_buzz_high","human",0,FALSE
"119","ins_buzz_high","ins_buzz_bee",0.5625,FALSE
"120","ins_buzz_high","ins_buzz_high",0.3125,TRUE
"121","ins_buzz_high","ins_buzz_low",0,FALSE
"122","ins_buzz_high","ins_trill",0,FALSE
"123","ins_buzz_high","mech_auto",0.0625,FALSE
"124","ins_buzz_high","mech_combine",0,FALSE
"125","ins_buzz_high","mech_hum_traffic",0,FALSE
"126","ins_buzz_high","mech_plane",0,FALSE
"127","ins_buzz_high","mech_siren",0,FALSE
"128","ins_buzz_high","mech_train",0,FALSE
"129","ins_buzz_low","ambient_day",0.024390243902439,FALSE
"130","ins_buzz_low","ambient_night",0,FALSE
"131","ins_buzz_low","ambient_rain",0,FALSE
"132","ins_buzz_low","ambient_scraping",0.0487804878048781,FALSE
"133","ins_buzz_low","goose",0,FALSE
"134","ins_buzz_low","human",0.0121951219512195,FALSE
"135","ins_buzz_low","ins_buzz_bee",0.219512195121951,FALSE
"136","ins_buzz_low","ins_buzz_high",0.0121951219512195,FALSE
"137","ins_buzz_low","ins_buzz_low",0.536585365853659,TRUE
"138","ins_buzz_low","ins_trill",0,FALSE
"139","ins_buzz_low","mech_auto",0.024390243902439,FALSE
"140","ins_buzz_low","mech_combine",0,FALSE
"141","ins_buzz_low","mech_hum_traffic",0.0975609756097561,FALSE
"142","ins_buzz_low","mech_plane",0.0121951219512195,FALSE
"143","ins_buzz_low","mech_siren",0,FALSE
"144","ins_buzz_low","mech_train",0.0121951219512195,FALSE
"145","ins_trill","ambient_day",0,FALSE
"146","ins_trill","ambient_night",0.234042553191489,FALSE
"147","ins_trill","ambient_rain",0,FALSE
"148","ins_trill","ambient_scraping",0,FALSE
"149","ins_trill","goose",0,FALSE
"150","ins_trill","human",0,FALSE
"151","ins_trill","ins_buzz_bee",0,FALSE
"152","ins_trill","ins_buzz_high",0,FALSE
"153","ins_trill","ins_buzz_low",0,FALSE
"154","ins_trill","ins_trill",0.659574468085106,TRUE
"155","ins_trill","mech_auto",0,FALSE
"156","ins_trill","mech_combine",0.0212765957446809,FALSE
"157","ins_trill","mech_hum_traffic",0.0851063829787234,FALSE
"158","ins_trill","mech_plane",0,FALSE
"159","ins_trill","mech_siren",0,FALSE
"160","ins_trill","mech_train",0,FALSE
"161","mech_auto","ambient_day",0.0857142857142857,FALSE
"162","mech_auto","ambient_night",0.123809523809524,FALSE
"163","mech_auto","ambient_rain",0,FALSE
"164","mech_auto","ambient_scraping",0,FALSE
"165","mech_auto","goose",0,FALSE
"166","mech_auto","human",0,FALSE
"167","mech_auto","ins_buzz_bee",0,FALSE
"168","mech_auto","ins_buzz_high",0,FALSE
"169","mech_auto","ins_buzz_low",0.00952380952380952,FALSE
"170","mech_auto","ins_trill",0.019047619047619,FALSE
"171","mech_auto","mech_auto",0.380952380952381,TRUE
"172","mech_auto","mech_combine",0,FALSE
